institution,rep score,fsr score,cpf score,int score,irn score,ger score
Massachusetts Institute of Technology (MIT) ,100,100,100,95,96.1,100
University of Cambridge,100,100,92.3,98.15,99.5,100
Stanford University,100,100,99.9,80.05,96.3,100
University of Oxford,100,100,90,98.6,99.9,100
Harvard University,100,99.4,100,71.9,100,100
California Institute of Technology (Caltech),91.8,100,100,92.45,73,98.8
Imperial College London,99,99.5,86.5,100,98.1,88.8
UCL,99,97.6,77,99.6,100,90.3
ETH Zurich - Swiss Federal Institute of Technology,94.95,74.2,99.2,99,96.2,91.1
University of Chicago,95.7,92.9,86.8,78.8,89.6,98.2
National University of Singapore (NUS),96.8,79.8,91.8,86.75,89.9,99.6
Peking University,97.9,87.3,96.7,47,77.5,91.4
University of Pennsylvania,94.5,99.9,70.9,81.15,93.3,100
Tsinghua University,98.3,92.8,98.1,21.2,75.5,87.1
The University of Edinburgh,97.6,81.1,70.1,99.2,98.7,54.3
EPFL,77.75,91.1,99.4,100,87.3,28
Princeton University,99.4,72.6,100,44.1,78.5,100
Yale University,99.95,100,51.5,83.25,92,100
"Nanyang Technological University, Singapore (NTU)",83.25,83.2,94.1,87.05,89.6,84.6
Cornell University,94.85,62.2,99.3,59.6,90,99.5
The University of Hong Kong,80.15,84.2,72.6,99.35,81.1,99
Columbia University,98.9,100,47.2,71.1,98.9,99.8
The University of Tokyo,99.85,91.9,73.3,19.1,89.5,97.8
Johns Hopkins University,67.55,100,87.3,73.25,97.7,95.3
University of Michigan-Ann Arbor,94.9,88.9,62.5,52.15,96.3,96
Universit? PSL,85.7,99.8,84.1,71.65,99.7,53.9
"University of California, Berkeley (UCB)",100,23.9,99.9,75.5,96.7,99.1
The University of Manchester,96.4,63.1,59,96.4,98.9,66.4
Seoul National University,98.2,87,70.3,11.25,79.3,97.7
The Australian National University,81.85,38,99.3,98,94.6,59.1
McGill University,93.45,68.9,59.6,91.35,95.2,90
Northwestern University,78.15,98.3,84.2,39.65,89,98.4
The University of Melbourne,96.75,17.9,95,96.45,97.6,91.1
Fudan University,88.55,89.3,70.4,64,70.6,65.7
University of Toronto,98.95,65.6,43.5,95.75,96.7,94
Kyoto University,98.75,94.8,54.2,18.5,85.5,56.9
King's College London,86,74.5,60.5,99.3,99.3,56.9
The Chinese University of Hong Kong (CUHK),68.45,60.9,92.9,95.25,74.9,79.4
New York University (NYU),97.45,98.1,28.9,62.85,92,99.7
The Hong Kong University of Science and Technology,66.05,62.6,98.6,93.95,56.2,91.2
The University of Sydney,93.95,15.6,92.1,99.65,97.3,90.8
KAIST - Korea Advanced Institute of Science & Technology,86.95,68.9,97.7,17.7,65.2,63.2
Zhejiang University,83.75,78.7,88.4,70.8,80.8,42.3
"University of California, Los Angeles (UCLA)",99.95,37.7,85.9,36.3,96.3,98
The University of New South Wales (UNSW Sydney),90.05,16.8,97.6,99.9,98.2,93
Shanghai Jiao Tong University,86.45,57.7,97.1,39.65,73.9,57.8
University of British Columbia,96.7,56.5,42.1,81.95,97.9,75.2
Institut Polytechnique de Paris,72.35,98.9,94,97.6,94.8,99.8
Technical University of Munich,90.4,96.4,25.8,82.65,91.8,37.5
Duke University,82.95,100,41.2,37.65,95.5,98.6
The University of Queensland,81.1,20.2,90.8,100,94.6,41.8
Carnegie Mellon University,70.55,58.6,100,67.65,88.7,85.3
"University of California, San Diego (UCSD)",75.8,55.6,77,54.3,96.9,21.2
City University of Hong Kong,43.35,88.6,98.1,100,55.1,57.2
Tokyo Institute of Technology (Tokyo Tech),83.75,81.5,65.9,37,55.8,33.6
The London School of Economics and Political Science (LSE),83.65,37.8,84.6,100,67.6,99.9
Monash University,84.2,11.2,79.3,100,95.1,56.8
University of Amsterdam,62.5,26.7,97.3,86.5,97.2,51.4
Ludwig-Maximilians-Universit?t M?nchen,84.15,56,45.5,51.5,94.7,39.3
Sorbonne University,65.85,40.6,86.3,41.5,99.6,60.9
Delft University of Technology,75.9,34.5,84.4,91.85,95.9,64
University of Bristol,79.25,58.3,55.3,87.7,93.9,59.6
